Station	Day	Month	Year	Lat	Long	Gear	Start.Depth	End.Depth	Family	Genus	Species	M.F	Life.Stage	Time.of.Day.	Parent.Jar	Expedition
1103603	1	4	1984	39.435	-15.0167	RMT8M/3	1000	1100	NA	NA	NA	NA	NA	NA	Yes	Late_Discovery
740616	3	10	1970	39.95	-20.255	RMT8	100	50	NA	NA	NA	NA	NA	NA	Yes	Late_Discovery
996403	15	2	1979	-64.375	25.765	RMT8M/3	510	995	Eupausiidae	Euphasuia	NA	F	Adult	NA	No	Late_Discovery
998903	15	3	1979	-61.745	26.005	RMT8M/3	1000	2000 (1700)	Eupausiidae	NA	NA	NA	NA	NA	Yes	Late_Discovery
785637	3	4	1972	30.0217	-22.98	RMT8	100	50	NA	NA	NA	NA	NA	Night	No	Late_Discovery
999803	20	3	1979	-57.5367	23.0183	RMT8	440	510	Eupausiidae	Euphasuia	Euphausia triacantha	F	NA	NA	No	Late_Discovery
996901	22	2	1979	-59.1083	20.1033	ENGINEFILTERS	NA	NA	NA	NA	NA	NA	NA	NA	No	Late_Discovery
8277	6	3	1973	NA	NA	RMT1	0	1000	NA	NA	NA	NA	NA	NA	Yes	NA
1038003	16	6	1981	30.0333	-33.85	RMT1M/3	100	200	NA	NA	NA	F	NA	Day	Yes	Late_Discovery
708934	18	11	1969	17.8417	-25.505	RMT8	1220	0	Eupausiidae	Thysanopoda	Thysanopoda cornuta	M	Adult	NA	No	Late_Discovery
999803	20	3	1979	-57.5367	23.0183	RMT8	440	540	Eupausiidae	NA	Thysanoessa macrura	F	Adult	NA	No	Late_Discovery
1038036	20	6	1981	29.7583	-34.35	RMT8M/1	1102	1120	NA	NA	NA	NA	NA	Night	Yes	Late_Discovery
996101	11	2	1979	-58.8683	29.0083	RMT8M/1	0	500	Eupausiidae	Thysanoessa	Thysanoessa macrura	M	NA	NA	No	Late_Discovery
785606	31	3	1972	29.9667	-23.0167	RMT8	1000	900	NA	NA	NA	NA	NA	Night	Yes	Late_Discovery
1207701	27	5	1990	48.4967	-17.4517	RMT8M/1	100	50	Eupausiidae	Euphasuia	NA	NA	NA	NA	No	Late_Discovery
785680	8	4	1972	29.98	-23.2883	RMT8	3000	2010	NA	NA	NA	NA	NA	Day	Yes	Late_Discovery
996801	20	3	1979	-62.185	20.9883	RMT8M	0	500	NA	NA	NA	F	NA	NA	No	Late_Discovery
828116	15	3	1973	32.0733	-63.695	RMT8M	200	102	NA	NA	NA	NA	NA	Night	No	Late_Discovery
996101	11	2	1979	-58.8683	29.0083	RMT1M/1	0	500	Eupausiidae	Euphasuia	Euphausia superba	F	NA	NA	No	Late_Discovery
8264	26	11	1973	NA	NA	RMT8	0	1000	NA	NA	NA	NA	NA	NA	No	NA
771104	17	5	1971	52.9167	-20.1467	RMT8	900	800	NA	NA	NA	NA	NA	Day	Yes	Late_Discovery
785667	7	4	1972	30.0767	-23.2	RMT1	260	240	NA	NA	NA	NA	NA	NA	Yes	Late_Discovery
8263	25	2	1973	NA	NA	RMT8	0	1000	NA	NA	NA	NA	NA	NA	No	NA
NA	16	3	1979	NA	NA	ENGINEFILTERS	NA	NA	NA	NA	NA	NA	NA	NA	No	NA
NA	18	3	1979	NA	NA	ENGINEFILTERS	NA	NA	NA	NA	NA	NA	NA	NA	No	NA
740601	1	10	1970	40.0417	-20.1317	RMT1	205	110	NA	NA	NA	NA	NA	Day	Yes	Late_Discovery
770904	26	4	1971	60.1933	-19.9733	RMT1	200	105	NA	NA	NA	NA	NA	Night	Yes	Late_Discovery
NA	8	2	1979	NA	NA	ENGINEFILTERS	NA	NA	NA	NA	NA	NA	NA	NA	No	NA
6645	6	2	1968	NA	NA	TMT85	205	150	Eupausiidae	NA	NA	NA	NA	NA	No	NA
1103601	1	4	1984	39.3883	-14.94	RMT1M/1	790	890	NA	NA	NA	NA	NA	NA	Yes	Late_Discovery
NA	25	3	1979	NA	NA	ENGINEFILTERS	NA	NA	NA	NA	NA	NA	NA	NA	No	NA
1038219	23	6	1981	32.5933	-31.9533	RMT8M/3	100	200	NA	NA	NA	NA	NA	Night	Yes	Late_Discovery
8262	24	3	1973	NA	NA	RMT8	0	1000	NA	NA	NA	NA	NA	NA	No	NA
NA	22	2	1979	NA	NA	ENGINEFILTERS	NA	NA	NA	NA	NA	NA	NA	NA	No	NA
1104203	2	4	1984	39.6367	-14.9267	RMT8M/3	400	510	Eupausiidae	Nematobrachion	Nematobrachion boopis	F	Adult	NA	No	Late_Discovery
996802	20	2	1979	-62.155	20.975	RMT8M/2	500	980	NA	NA	NA	NA	NA	NA	Yes	Late_Discovery
NA	15	2	1979	NA	NA	ENGINEFILTERS	NA	NA	NA	NA	NA	NA	NA	NA	No	NA
740602	1	10	1970	39.9983	-20.1383	RMT1	300	210	NA	NA	NA	NA	NA	NA	Yes	Late_Discovery
NA	25	3	1979	NA	NA	ENGINEFILTERS	NA	NA	NA	NA	NA	NA	NA	NA	No	NA
NA	18	3	1979	NA	NA	ENGINEFILTERS	NA	NA	NA	NA	NA	NA	NA	NA	No	NA
NA	19	3	1979	NA	NA	ENGINEFILTERS	NA	NA	NA	NA	NA	NA	NA	NA	No	NA
9968	21	2	1979	NA	NA	ENGINEFILTERS	NA	NA	NA	NA	NA	NA	NA	NA	No	NA
NA	21	3	1979	NA	NA	ENGINEFILTERS	NA	NA	NA	NA	NA	NA	NA	Night	No	NA
664201	5	2	1968	NA	NA	N113H	1500	0	Eupausiidae	NA	NA	NA	NA	NA	No	Late_Discovery
5469	25	7	1964	NA	NA	1KMT	110	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
5345	22	4	1964	NA	NA	1KMT	550	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
5092	25	6	1964	NA	NA	NN	0	0	Eupausiidae	NA	NA	NA	NA	Night	No	NA
828133	18	3	1973	31.5033	-63.3433	RMT8	2000	1490	Eupausiidae	Thysanopoda	Thysanopoda cornuta	NA	Adolescent	Night	No	Late_Discovery
4923	1	6	1962	NA	NA	1KMT	800	0	Eupausiidae	NA	NA	NA	NA	Day	No	NA
NA	26	3	1979	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA
5806	4	11	1965	NA	NA	1KMT	205	150	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4724	9	9	1961	NA	NA	1KMT	135	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
3710	28	11	1965	NA	NA	1KMT	1600	800	Eupausiidae	NA	NA	NA	NA	NA	No	NA
5827	17	4	1958	NA	NA	N113H	650	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
2802	1	2	1951	-39.88333333	90.4	N100H	0	0	Eupausiidae	NA	NA	NA	NA	NA	Yes	Early_Discovery
6131	24	10	1966	NA	NA	EMT	NA	NA	Eupausiidae	NA	NA	NA	NA	NA	No	NA
NA	24	10	1966	NA	NA	NA	NA	NA	Eupausiidae	Euphasuia	Euphausia frigida	NA	Juvenile	NA	Yes	NA
2769	2	11	1950	-59.11666667	174.9166667	N100B	99	0	Eupausiidae	Thysanoessa	NA	NA	NA	NA	No	Early_Discovery
6441	15	8	1967	NA	NA	EMT	240	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4767	11	10	1961	NA	NA	BCMT	82	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
5816	13	11	1965	NA	NA	N113H	295	240	NA	NA	NA	NA	NA	NA	No	NA
4258	21	11	1959	NA	NA	1KMT	500	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4767	11	10	1961	NA	NA	1KMT	800	920	Eupausiidae	NA	NA	NA	NA	NA	No	NA
5092	15	8	1963	NA	NA	NN	0	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
5498	16	7	1964	NA	NA	1KMT	330	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
3473	17	9	1956	NA	NA	1KMT	2000	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
5793	13	10	1965	NA	NA	1KMT	450	340	Eupausiidae	NA	NA	NA	NA	NA	No	NA
3675	26	11	1958	NA	NA	1KMT	780	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
5801	21	10	1965	NA	NA	1KMT	100	60	Eupausiidae	NA	NA	NA	NA	NA	No	NA
5092	15	8	1963	NA	NA	NN	0	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
5264	14	3	1964	NA	NA	1KMT	500	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4025	16	3	1959	NA	NA	TYFH	286	311	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4754	28	9	1961	NA	NA	N100B	100	0	Eupausiidae	Euphasuia	Euphausia brevis	NA	Adult	NA	Yes	NA
4989	2	3	1963	NA	NA	1KMT	250	100	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4254	22	9	1959	NA	NA	TY7 	680	NA	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4735	17	9	1961	NA	NA	1KMT	100	65	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4938	10	6	1962	NA	NA	1KMT	800	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4951	17	6	1962	NA	NA	1KMT	480	300	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4724	9	9	1961	NA	NA	1KMT	230	100	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4949	17	6	1962	NA	NA	1KMT	270	100	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4986	26	11	1963	NA	NA	1KMT	350	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4959	26	6	1962	NA	NA	1KMT	420	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4028	18	3	1959	NA	NA	TYFH	165	NA	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4837	3	4	1962	NA	NA	1KMT	200	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4025	16	3	1959	NA	NA	TYFH	323	348	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4959	26	6	1962	NA	NA	1KMT	500	0	Eupausiidae	NA	NA	NA	NA	NA	 No	NA
6203	23	11	1966	NA	NA	1KMTB	500	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
669504	13	3	1968	NA	NA	TMT85	700	610	Eupausiidae	NA	NA	NA	NA	NA	No	Late_Discovery
6168	17	11	1966	NA	NA	EMT	570	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
666700	28	2	1968	10.2333	-20.9167	N113H	3760	0	Eupausiidae	NA	NA	NA	NA	NA	No	Late_Discovery
770904	26	4	1971	60.1933	-19.9733	RMT1	200	105	NA	NA	NA	NA	NA	Night	No	Late_Discovery
2769	2	11	1950	-59.11666667	174.9166667	N100H	0	0	Eupausiidae	NA	NA	NA	NA	NA	Yes	Early_Discovery
742201	23	10	1970	37.8467	-27.0417	BN2.4/4.5	2287	0	Eupausiidae	NA	NA	NA	NA	NA	No	Late_Discovery
666203	14	2	1968	11.0533	-19.9733	TMT85	100	0	Eupausiidae	Euphasuia	Euphausia gibboides	F	Adult	NA	No	Late_Discovery
770994	8	5	1971	59.8867	-20.0317	RMT25/10	585	400	Eupausiidae	NA	NA	NA	NA	Day	No	Late_Discovery
850763	8	4	1974	44.0083	-12.87	RMT8	400	300	Eupausiidae	Nyctiphanes	Nematobrachion boopis	F	Adult	Day	No	Late_Discovery
785639	4	3	1972	29.8717	-22.9383	RMT8	25	10	Eupausiidae	Euphasuia	Euphausia brevis	F	Adult	Night	No	Late_Discovery
828124	16	3	1973	31.8383	-63.7467	RMT1	0	10	Eupausiidae	NA	NA	NA	NA	Day	Yes	Late_Discovery
747802	6	11	1970	40.0317	-19.9317	RMT8	700	605	Eupausiidae	Hansarsia	Hansarsia megalops	M	Adult	NA	No	Late_Discovery
